"","Group.1","Biomass","Stock","Seq.rate","fun","range"
"1","Posidonia oceanica",0.506763166830976,16.8321089460635,0.027976643852635,"mean","IB"
"2","Cymodocea nodosa",0.135530737577753,4.20313528194116,0.00757188793739765,"mean","IB"
"3","Zostera marina",0.0464557762833626,2.2099592087433,NA,"mean","IB"
"4","Zostera noltii",0.049108606936534,53.6141643951491,0.0332849157140187,"mean","IB"
"5","Posidonia oceanica",0.136565395927805,15.8818726063095,0.0226140765391272,"median","IB"
"6","Cymodocea nodosa",0.0423771428571429,3.75619740816024,0.00788073881663167,"median","IB"
"7","Zostera marina",0.0384562596829825,1.88783398540895,NA,"median","IB"
"8","Zostera noltii",0.0353689818470493,12.9307394370936,0.0190337783012627,"median","IB"
"9","Posidonia oceanica",0.0587157742392248,5.86366154978196,0.0192676817903667,"mad","IB"
"10","Cymodocea nodosa",0.043918848,2.08103647791813,0.00658235004725717,"mad","IB"
"11","Zostera marina",0.0176740493912842,0.152076616756837,NA,"mad","IB"
"12","Zostera noltii",0.038028163311693,9.66961911686305,0.0253110928940368,"mad","IB"
"13","Posidonia oceanica",108,46,25,"n","IB"
"14","Cymodocea nodosa",61,18,3,"n","IB"
"15","Zostera marina",18,6,0,"n","IB"
"16","Zostera noltii",80,24,8,"n","IB"
"17","Posidonia oceanica",0.369431783340034,18.2328825788024,0.027976643852635,"mean","G"
"18","Cymodocea nodosa",0.0747013009374679,4.20313528194116,0.00757188793739765,"mean","G"
"19","Zostera marina",0.0426119221349426,7.66275012810878,0.0105985274166667,"mean","G"
"20","Zostera noltii",0.0382238122627881,53.6141643951491,0.0332849157140187,"mean","G"
"21","Posidonia oceanica",0.119565472485064,17.2935833104666,0.0226140765391272,"median","G"
"22","Cymodocea nodosa",0.033218493,3.75619740816024,0.00788073881663167,"median","G"
"23","Zostera marina",0.02777722,6.9,0.009,"median","G"
"24","Zostera noltii",0.032985907,12.9307394370936,0.0190337783012627,"median","G"
"25","Posidonia oceanica",0.123293719413522,0.570703646690643,0.00134033289888772,"mad","G"
"26","Cymodocea nodosa",0.0102130267409148,0.14011989625956,0.000323775651032257,"mad","G"
"27","Zostera marina",0.00205422725546762,0.226340885386932,0.000203556678242371,"mad","G"
"28","Zostera noltii",0.00228268668974771,9.30656347412028,0.00265303979459866,"mad","G"
"29","Posidonia oceanica",161,51,25,"n","G"
"30","Cymodocea nodosa",220,18,3,"n","G"
"31","Zostera marina",601,41,12,"n","G"
"32","Zostera noltii",209,24,8,"n","G"
"33","High",5.64392598788563,31.9690354939722,0.0347133222094872,"mean","IB"
"34","Medium",0.504688781543805,59.7807260081563,0.0250626419070641,"mean","IB"
"35","Low",0.388493105187547,86.0944855252834,0.0267278199452166,"mean","IB"
"36","Microtidal",1.1282834694281,13.7234919451931,NA,"mean","IB"
"37","High",1.62020288020069,19.0214171682249,0.0335241442149197,"median","IB"
"38","Medium",0.2717195876928,16.9190140833787,0.0254981204359479,"median","IB"
"39","Low",0.192400910852167,14.2093451870359,0.0170612807949374,"median","IB"
"40","Microtidal",0.96337144317229,10.3067156338744,NA,"median","IB"
"41","High",2.05258078471435,13.1437083656156,0.0272513951979902,"mad","IB"
"42","Medium",0.272855647436582,16.6503822450486,0.00587351322146456,"mad","IB"
"43","Low",0.111510852685303,12.331098083585,0.0168554357050468,"mad","IB"
"44","Microtidal",0.531667984840296,3.31613690472103,NA,"mad","IB"
"45","High",8,14,10,"n","IB"
"46","Medium",143,6,3,"n","IB"
"47","Low",155,16,7,"n","IB"
"48","Microtidal",31,3,0,"n","IB"
"49","High",0.961677327887153,12.2177804424912,0.105927768507906,"mean","G"
"50","Medium",0.488885743855678,11.1741985192777,0.0250626419070641,"mean","G"
"51","Low",0.348284089574578,30.3479509315384,0.0966139099726083,"mean","G"
"52","Microtidal",0.652912273889507,14.1077129653225,0.0528814285714286,"mean","G"
"53","High",0.391706,8.92538966579387,0.0442934499564467,"median","G"
"54","Medium",0.294856375520463,5.2,0.0254981204359479,"median","G"
"55","Low",0.206143,11.410950135,0.0329884378400558,"median","G"
"56","Microtidal",0.403798042048238,10.3067156338744,0.0409,"median","G"
"57","High",0.179691024640981,1.00976904756568,0.0118901691082969,"mad","G"
"58","Medium",0.0789009434395867,2.25246376603041,0.000319516412497976,"mad","G"
"59","Low",0.0473893704207707,4.1095660548708,0.00776224355728516,"mad","G"
"60","Microtidal",0.0764083534799384,0.823944636798268,0.00252838042646916,"mad","G"
"61","High",79,158,12,"n","G"
"62","Medium",161,61,3,"n","G"
"63","Low",249,66,14,"n","G"
"64","Microtidal",79,39,7,"n","G"
"65","Salt Marsh",0.630608672166736,57.0495665949914,0.030470794371629,"mean","IB"
"66","Seagrass",0.253792844711654,22.8716292269138,0.0274558634955616,"mean","IB"
"67","Salt Marsh",0.234471120839333,16.5373022022749,0.0243208543893991,"median","IB"
"68","Seagrass",0.0747191058732548,11.5280212225971,0.021240993214553,"median","IB"
"69","Salt Marsh",0.217631070479632,11.5442988080808,0.019867172632487,"mad","IB"
"70","Seagrass",0.0707266054955327,9.35176020305728,0.0204333341998357,"mad","IB"
"71","Salt Marsh",337,39,20,"n","IB"
"72","Seagrass",267,94,36,"n","IB"
"73","Salt Marsh",0.51582028451618,15.9419783540699,0.0852523857620161,"mean","G"
"74","Seagrass",0.091949072451731,19.4510906517157,0.0232415294758378,"mean","G"
"75","Salt Marsh",0.2619015049616,8.89339322580524,0.0352117206805281,"median","G"
"76","Seagrass",0.0353346,9.70626720215935,0.0174877149134774,"median","G"
"77","Salt Marsh",0.219851722719553,6.53956270300515,0.0289314247210951,"mad","G"
"78","Seagrass",0.034749564276,7.73876416593508,0.0141548944459525,"mad","G"
"79","Salt Marsh",568,324,36,"n","G"
"80","Seagrass",1191,134,48,"n","G"
